                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66199,                 0.6664,                0.85203,                0.69152,                0.79518,                0.76519,                0.66579,                0.67564,                0.65535,                0.83263,             0.00027906,             0.00027906,             0.00027906
                     37,                0.65805,                0.63057,                0.85267,                0.70716,                0.79882,                0.76722,                0.66073,                0.67012,                0.64163,                0.83217,             0.00026106,             0.00026106,             0.00026106
                     38,                0.66638,                0.64016,                0.86687,                0.71416,                0.80783,                0.76672,                0.66177,                0.67909,                0.62821,                0.83435,             0.00024307,             0.00024307,             0.00024307
                     39,                 0.6716,                0.64883,                0.85074,                0.74252,                0.81621,                0.76868,                0.66503,                0.67691,                 0.6199,                 0.8339,             0.00022507,             0.00022507,             0.00022507
                     40,                0.65763,                0.64914,                0.85011,                0.72546,                0.80238,                0.77062,                0.66943,                0.65008,                 0.6159,                0.83026,             0.00020707,             0.00020707,             0.00020707
                     41,                0.69382,                0.73824,                0.87324,                0.72226,                0.79303,                0.76758,                0.66833,                0.64577,                0.62273,                0.82907,             0.00018907,             0.00018907,             0.00018907
                     42,                0.68649,                0.69488,                0.85631,                0.71476,                0.79059,                0.75508,                0.66463,                0.66268,                0.66927,                0.83019,             0.00017107,             0.00017107,             0.00017107
                     43,                0.69306,                0.68894,                0.85698,                0.71472,                0.78594,                0.74966,                 0.6614,                0.66562,                0.74156,                0.82978,             0.00015308,             0.00015308,             0.00015308
                     44,                0.68265,                0.70511,                 0.8551,                0.72398,                0.80138,                0.76191,                0.66489,                0.64663,                0.70655,                0.82569,             0.00013508,             0.00013508,             0.00013508
                     45,                0.67134,                0.66757,                 0.8493,                0.73134,                0.79916,                0.76616,                0.66681,                0.63417,                0.65787,                0.82384,             0.00011708,             0.00011708,             0.00011708
                     46,                 0.6641,                0.64889,                0.86176,                0.72771,                0.80381,                0.77366,                0.66948,                0.61673,                0.61017,                0.82183,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.65726,                0.62444,                0.85795,                0.71186,                0.81853,                 0.7733,                0.67129,                0.61728,                0.60165,                0.82249,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                 0.6505,                0.61516,                0.85275,                0.71606,                0.81869,                0.76593,                0.66776,                0.62613,                0.60583,                0.82424,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.67182,                0.64298,                0.85241,                0.71705,                0.81089,                0.76373,                0.66651,                0.62939,                 0.6084,                0.82499,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.64942,                0.61869,                0.85345,                 0.7222,                 0.8105,                0.76446,                0.66711,                0.62857,                0.60931,                0.82516,             2.7088e-05,             2.7088e-05,             2.7088e-05
